job_id,company_id,location,designation,details_id
JOB101,COM001,Hyderabad,Business Systems Analyst,D01
JOB102,COM002,Hyderabad,Technical Writer,I02
JOB103,COM003,Mumbai,Oracle - UFT Testing,S03
JOB104,COM004,Mumbai,Associate Sales,S04
JOB105,COM005,Bangalore,Sales / Senior Sales Associate,S04
JOB106,COM003,Mumbai,.NET Azure Fullstack Developer,S03
JOB107,COM003,Bangalore,Automation Testing,S03
JOB108,COM003,Mumbai,Azure DevOps,I02
JOB109,COM003,Mumbai,React.js Developer,S03
JOB110,COM006,Bangalore,C / C++ Development,S03
JOB111,COM007,Bangalore,Associate / Senior Associate - Inside Sales,S04
JOB112,COM008,Gurgaon,Associate - Sales Representative / Inside Sales,S04
JOB113,COM009,Bangalore,Senior Content Marketer - B2C,M05
JOB114,COM010,Work From Home,Product Support Engineer / Customer Support,S04
JOB115,COM011,Work From Home,SEO Specialist,M05
JOB116,COM011,Work From Home,Social Media Marketer,M05
JOB117,COM011,Work From Home,TA Specialist,H06
JOB118,COM012,Bangalore,Anaplan Analyst / Manager,O07
JOB119,COM012,Bangalore,Manager - Accounting,O07
JOB120,COM013,Bangalore,Content Writer,M05
JOB121,COM013,Bangalore,Deputy Manager - Performance Marketing,M05
JOB122,COM014,Chennai,Engineering Manager,T08
JOB123,COM015,Hyderabad,Software Development Engineer,S03
JOB124,COM016,Bangalore,Business Development (Lending),S04
JOB125,COM009,Bangalore,Customer Support Executive - KYC Specialist,S04
JOB126,COM017,Mumbai,Product Manager - Digital Lending,T08
JOB127,COM018,Hyderabad,Assistant Manager - B2C Inside Sales,S04
JOB128,COM018,Hyderabad,Key Account Manager / Senior Key Account Manager,S04
JOB129,COM018,Hyderabad,Manager - Institutional / B2B Sales,S04
JOB130,COM019,Kochi,Sales Executive - General Trade,S04
JOB131,COM020,Work From Home,Senior Financial Accountant,O07
JOB132,COM021,Work From Home,Event Manager,M05
JOB133,COM021,Work From Home,Finance Manager,O07
JOB134,COM021,Work From Home,Senior Sales Manager,S04
JOB135,COM022,Work From Home,Business Development Associate,S04
JOB136,COM022,Work From Home,Business Development Associate (US Shift),S04
JOB137,COM023,Bangalore,Business Analyst,D01
JOB138,COM024,Mumbai,Business Development Executives,S04
JOB139,COM024,Mumbai,Customer Delight,S04
JOB140,COM024,Mumbai,Customer Success Manager,S04
JOB141,COM025,Mumbai,Key Account Manager,S04
JOB142,COM026,Bangalore,Principal Software Engineer,S03
JOB143,COM027,Bangalore,DevOps Engineer,I02
JOB144,COM028,Chennai,Backend Developer,S03
JOB145,COM029,Bangalore,SRE - TKG,T08
JOB146,COM030,Work From Home,Senior Software Developer - C++,S03
JOB147,COM030,Work From Home,Tech Lead - C++,S03
JOB148,COM031,Bangalore,Training Manager,D09
JOB149,COM032,Hyderabad,Lead Developer,S03
JOB150,COM032,Hyderabad,SSE,S03
JOB151,COM033,Bangalore,Hadoop Administrator,I02
JOB152,COM034,Chennai,UI Developer,S03
JOB153,COM035,Bangalore,.NET Core Developer,S03
JOB154,COM036,Bangalore,Product Manager,T08
JOB155,COM037,Bangalore,Data Scientist,D01
JOB156,COM038,Bangalore,Backend Developer - Java,S03
JOB157,COM038,Bangalore,Regional Sales Manager,S04
JOB158,COM032,Hyderabad,Senior Data Scientist,D01
JOB159,COM033,Bangalore,Machine Learning Engineer,D01
JOB160,COM039,Bangalore,Data Analyst,D01
JOB161,COM040,Bangalore,SSE / FE,S03
JOB162,COM041,Bangalore,Senior Sales Executive / Sales Manager,S04
JOB163,COM042,Ahmedabad,.NET Developer,S03
JOB164,COM043,Work From Home,Dot .NET Developer,S03
JOB165,COM043,Work From Home,Wordpress Developer - Lead,S03
JOB166,COM044,Work From Home,SAP FICO + Tax Consultant,S03
JOB167,COM045,Mumbai,Education Counsellor - B2C Sales,S04
JOB168,COM046,Work From Home,Backend Engineer,S03
JOB169,COM032,Hyderabad,Python Developer,S03
JOB170,COM047,Bangalore,Accounts Executive,O07
JOB171,COM047,Bangalore,Sales Consultant,M05
JOB172,COM048,Bangalore,Staff Engineer - Java Full Stack,S03
JOB173,COM041,Bangalore,Sales Executive / Senior Sales Executive,S04
JOB174,COM049,Bangalore,Staff Software Engineer,S03
