,designation,company_name,location,estab_year,employees_count,job_description,skills,hr_name,experience_req,employee_reviews
0,Business Systems Analyst (Drive),Google,Hyderabad,Founded in 1998,More than 1000 employees,Function: Data Science and Analysis → Data Analysis / Business Intelligence,"Finance
Marketing
Microsoft Excel
Product Management
Sales
UI Testing
UX Design","Aneesh Vikram
Recruiting Specialist
at Google",5-9 Years,4.1
1,Technical Writer (Drive),Hugosave,Hyderabad,Founded in 2019,10 - 50 employees,Function: IT Operations and Support → Technical Writing,"Postman
Swagger
Technical Writing","Neha Khaitan
Talent Acquisition Specialist
at Hugosave",7-10 Years,
2,AEM Developer (Drive),LTIMindtree,"Bangalore, Hyderabad, Mumbai",Founded in 1996,More than 1000 employees,Function: Software Engineering → Other Software Development,Adobe Experience Manager (AEM),"Akshata
Recruiter
at LTIMindtree",3-6 Years,4
3,Azure Databricks Developer (Drive),LTIMindtree,"Bangalore, Chennai, Mumbai",Founded in 1996,More than 1000 employees,Function: Software Engineering → Big Data / DWH / ETL,"Databricks
Hadoop
Spark
ETL
PySpark
Snowflake","Akshata
Recruiter
at LTIMindtree",5-6 Years,4
4,Big Data - Java Spark Developer (Drive),LTIMindtree,"Bangalore, Chennai, Mumbai",Founded in 1996,More than 1000 employees,Function: Software Engineering → Big Data / DWH / ETL,"Amazon Redshift
Big Data
Data Analysis
Data Warehousing
ETL
Java
Spark","Akshata
Recruiter
at LTIMindtree",5-6 Years,4
5,GCP Developer (Drive),LTIMindtree,"Bangalore, Chennai, Mumbai",Founded in 1996,More than 1000 employees,Function: Software Engineering → Big Data / DWH / ETL,"BigQuery
Google Cloud
Python
Dataflow","Akshata
Recruiter
at LTIMindtree",5-6 Years,4
6,Informatica IICS Developer (Drive),LTIMindtree,"Bangalore, Hyderabad, Mumbai",Founded in 1996,More than 1000 employees,Function: Software Engineering → Big Data / DWH / ETL,"Informatica
Informatica PowerCenter","Akshata
Recruiter
at LTIMindtree",5-6 Years,4
7,Oracle - UFT Testing (Drive),LTIMindtree,Mumbai,Founded in 1996,More than 1000 employees,Function: Software Engineering → QA / SDET,"Automation Testing
QTP","Akshata
Recruiter
at LTIMindtree",3-5 Years,4
8,PL / SQL Developer (Drive),LTIMindtree,"Bangalore, Hyderabad, Mumbai",Founded in 1996,More than 1000 employees,Function: IT Operations and Support → Database Admin / Development,"Oracle RAC
PL-SQL","Akshata
Recruiter
at LTIMindtree",5-6 Years,4
9,Snowflake Developer (Drive),LTIMindtree,"Bangalore, Chennai, Mumbai",Founded in 1996,More than 1000 employees,Function: Software Engineering → Big Data / DWH / ETL,"Data Warehousing
ETL
SQL
Snowflake","Akshata
Recruiter
at LTIMindtree",5-6 Years,4
10,Associate Sales (Mumbai) (Drive),Dunzo,Mumbai,Founded in 2014,200 - 500 employees,Function: Sales and Business → Sales / Business Development,"Field Work
Lead Generation
Sales","Shreya Shandilya
Recruiter
at Dunzo",1-2 Years,3.6
11,Sales / Senior Sales Associate (Drive),Ivy Homes,Bangalore,Founded in 2021,0 - 10 employees,Function: Sales and Business → Sales / Business Development,"Business Development
Lead Generation
Sales","Pritam Thakur
Co-Founder
at Ivy Homes",1-5 Years,
12,.NET Azure Fullstack Developer (Drive),LTIMindtree,Mumbai,Founded in 1996,More than 1000 employees,Function: Software Engineering → Backend Development,".NET
ASP.NET
Angular
Azure
Bootstrap
C#
CSS
HTML","Akshata
Recruiter
at LTIMindtree",3-6 Years,4
13,Automation Testing (Drive),LTIMindtree,Bangalore,Founded in 1996,More than 1000 employees,Function: Software Engineering → QA / SDET,"API Testing
Appium
Cucumber
JMeter
Java
Mobile Apps Testing
Performance Testing
Python
Ruby
SDET
Selenium
SoapUI","Akshata
Recruiter
at LTIMindtree",5-6 Years,4
14,Azure DevOps (Drive),LTIMindtree,Mumbai,Founded in 1996,More than 1000 employees,Function: IT Operations and Support → DevOps / Cloud,"Ansible
Azure
Azure DevOps Server
CI - CD
DevOps
Kafka","Akshata
Recruiter
at LTIMindtree",4-6 Years,4
